name,memo
有浦柑奈,長崎出身。3月6日生まれの19歳。身長は155cmで体重は44kg、スリーサイズは上から78・57・80。O型右利きで趣味はﾗﾌﾞ&ﾋﾟｰｽ。
安斎都,福井出身。1月6日生まれの16歳。身長は156cmで体重は41kg、スリーサイズは上から78・55・77。B型右利きで趣味は探偵ﾄﾞﾗﾏ・推理小説を見ること。
五十嵐響子,鳥取出身。8月10日生まれの15歳。身長は154cmで体重は43kg、スリーサイズは上から81・58・80。AB型右利きで趣味は家事全般。
池袋晶葉,東京出身。6月10日生まれの14歳。身長は148cmで体重は39kg、スリーサイズは上から75・53・74。B型右利きで趣味はﾛﾎﾞｯﾄ制作。
伊集院惠,東京出身。9月24日生まれの21歳。身長は160cmで体重は44kg、スリーサイズは上から86・56・81。O型左利きで趣味は一人旅。
一ノ瀬志希,岩手出身。5月30日生まれの18歳。身長は161cmで体重は43kg、スリーサイズは上から83・57・82。O型右利きで趣味は観察・ｱﾔしい科学実験・失踪。
市原仁奈,静岡出身。2月8日生まれの9歳。身長は128cmで体重は29kg、スリーサイズは上から61・57・67。B型左利きで趣味は着ぐるみ集め。
ｲｳﾞ･ｻﾝﾀｸﾛｰｽ,ｸﾞﾘｰﾝﾗﾝﾄﾞ出身。12月24日生まれの19歳。身長は165cmで体重は44kg、スリーサイズは上から81・56・80。B型右利きで趣味は煙突探し。
今井加奈,高知出身。3月3日生まれの16歳。身長は153cmで体重は41kg、スリーサイズは上から81・56・79。O型右利きで趣味は友達とおしゃべり。
井村雪菜,秋田出身。8月27日生まれの17歳。身長は163cmで体重は48kg、スリーサイズは上から85・60・88。AB型右利きで趣味はﾒｲｸ小物集め。
上田鈴帆,福岡出身。10月26日生まれの14歳。身長は156cmで体重は42kg、スリーサイズは上から76・55・79。O型右利きで趣味は裁縫。
氏家むつみ,栃木出身。7月13日生まれの13歳。身長は152cmで体重は42kg、スリーサイズは上から78・57・80。AB型右利きで趣味は冒険小説を読む・冒険映画を見る事。
梅木音葉,北海道出身。6月20日生まれの19歳。身長は172cmで体重は49kg、スリーサイズは上から86・58・85。AB型右利きで趣味は森林浴・ﾋﾟｱﾉ。
江上椿,新潟出身。2月6日生まれの19歳。身長は161cmで体重は46kg、スリーサイズは上から80・57・80。A型左利きで趣味は写真を撮ること。
衛藤美紗希,大分出身。3月18日生まれの22歳。身長は160cmで体重は45kg、スリーサイズは上から84・56・80。O型左利きで趣味は携帯小説、女子力ｱｯﾌﾟ。
海老原菜帆,熊本出身。8月3日生まれの17歳。身長は162cmで体重は58kg、スリーサイズは上から92・65・93。O型右利きで趣味は散歩・和菓子屋さん巡り。
及川雫,岩手出身。6月3日生まれの16歳。身長は170cmで体重は56kg、スリーサイズは上から105・64・92。O型両利きで趣味は乳搾り、ﾄﾗｸﾀｰの運転。
大石泉,静岡出身。11月11日生まれの15歳。身長は157cmで体重は41kg、スリーサイズは上から83・55・82。A型右利きで趣味はﾌﾟﾛｸﾞﾗﾐﾝｸﾞ。
太田優,千葉出身。1月28日生まれの21歳。身長は159cmで体重は45kg、スリーサイズは上から89・57・87。AB型両利きで趣味は犬のﾄﾘﾐﾝｸﾞ、美容。
大槻唯,埼玉出身。5月7日生まれの17歳。身長は155cmで体重は42kg、スリーサイズは上から84・56・83。B型左利きで趣味はｶﾗｵｹ。
大西由里子,香川出身。3月20日生まれの20歳。身長は156cmで体重は44kg、スリーサイズは上から81・58・83。O型右利きで趣味はﾈｯﾄｻｰﾌｨﾝ・読書。
大沼くるみ,石川出身。3月30日生まれの13歳。身長は145cmで体重は40kg、スリーサイズは上からおっきい・ふつう・まぁまぁ。A型右利きで趣味はﾎﾟｹｯﾄﾃｨｯｼｭ収集、お風呂に入ること。
大原みちる,福井出身。4月12日生まれの15歳。身長は153cmで体重は40kg、スリーサイズは上から78・55・80。O型右利きで趣味は食べること。
岡崎泰葉,長崎出身。7月16日生まれの16歳。身長は153cmで体重は43kg、スリーサイズは上から79・55・80。A型左利きで趣味はﾄﾞｰﾙﾊｳｽ作り。
緒方智絵里,三重出身。6月11日生まれの16歳。身長は153cmで体重は42kg、スリーサイズは上から79・57・80。A型右利きで趣味は四葉のｸﾛｰﾊﾞｰ集め。
奥山沙織,秋田出身。6月12日生まれの19歳。身長は156cmで体重は47kg、スリーサイズは上から83・57・81。B型右利きで趣味は読書。
乙倉悠貴,岡山出身。10月6日生まれの13歳。身長は164cmで体重は40kg、スリーサイズは上から70・53・74。A型右利きで趣味はﾐｯｸｽｼﾞｭｰｽ作り・ｽｸﾗｯﾌﾟﾌﾞｯｸ作り。
片桐早苗,新潟出身。3月7日生まれの28歳。身長は152cmで体重は47kg、スリーサイズは上から92・58・84。O型右利きで趣味はﾏｯｻｰｼﾞ･ｽｰﾊﾟｰ銭湯。
上条春菜,静岡出身。4月10日生まれの18歳。身長は156cmで体重は42kg、スリーサイズは上から79・56・80。O型右利きで趣味は猫と縁側でお昼寝。
神谷奈緒,千葉出身。9月16日生まれの17歳。身長は154cmで体重は44kg、スリーサイズは上から83・58・81。AB型左利きで趣味はｱﾆﾒ鑑賞。
川島瑞樹,大阪出身。11月25日生まれの28歳。身長は159cmで体重は44kg、スリーサイズは上から87・57・85。A型右利きで趣味は掃除、洗濯。
神崎蘭子,熊本出身。4月8日生まれの14歳。身長は156cmで体重は41kg、スリーサイズは上から81・57・80。A型右利きで趣味は絵を描くこと。
岸部彩華,埼玉出身。11月13日生まれの19歳。身長は162cmで体重は46kg、スリーサイズは上から89・59・85。A型右利きで趣味はﾈｲﾙｱｰﾄ・ｴｽﾃ・岩盤浴。
北川真尋,香川出身。2月17日生まれの17歳。身長は158cmで体重は43kg、スリーサイズは上から75・57・79。O型右利きで趣味は走ること･食べること･寝ること。
喜多日菜子,秋田出身。4月6日生まれの15歳。身長は151cmで体重は38kg、スリーサイズは上から78・56・78。AB型右利きで趣味は妄想。
喜多見柚,埼玉出身。12月2日生まれの15歳。身長は156cmで体重は43kg、スリーサイズは上から82・57・82。B型左利きで趣味はﾊﾞﾄﾞﾐﾝﾄﾝ。
木場真奈美,長崎出身。8月8日生まれの25歳。身長は172cmで体重は50kg、スリーサイズは上から88・60・89。AB型右利きで趣味は筋ﾄﾚ・料理。
木村夏樹,茨城出身。8月19日生まれの18歳。身長は159cmで体重は41kg、スリーサイズは上から82・57・83。AB型左利きで趣味はﾂｰﾘﾝｸﾞ。
ｷｬｼｰ･ｸﾞﾗﾊﾑ,ﾆｭｰﾖｰｸ出身。9月19日生まれの15歳。身長は168cmで体重は49kg、スリーサイズは上から83・56・85。O型左利きで趣味はｲﾝﾗｲﾝｽｹｰﾄ･ﾀﾞﾝｽ。
桐野ｱﾔ,福岡出身。4月8日生まれの19歳。身長は160cmで体重は43kg、スリーサイズは上から86・56・86。A型右利きで趣味は格闘技観戦。
桐生つかさ,福井出身。2月24日生まれの18歳。身長は164cmで体重は45kg、スリーサイズは上から83・55・82。A型右利きで趣味は異業種交流､ﾎｯﾄﾖｶﾞ､ぬか床の世話。
日下部若葉,群馬出身。5月4日生まれの20歳。身長は148cmで体重は40kg、スリーサイズは上から77・54・78。O型右利きで趣味はｼﾞｸﾞｿｰﾊﾟｽﾞﾙ。
工藤忍,青森出身。3月9日生まれの16歳。身長は154cmで体重は41kg、スリーサイズは上から78・54・81。A型左利きで趣味はおまけ集め。
ｸﾗﾘｽ,兵庫出身。8月26日生まれの20歳。身長は166cmで体重は45kg、スリーサイズは上から80・55・82。AB型右利きで趣味はﾎﾞﾗﾝﾃｨｱ。
栗原ﾈﾈ,群馬出身。9月9日生まれの15歳。身長は161cmで体重は44kg、スリーサイズは上から77・54・78。A型右利きで趣味はﾃﾚﾋﾞ鑑賞･健康作り。
黒川千秋,北海道出身。2月26日生まれの20歳。身長は163cmで体重は45kg、スリーサイズは上から86・57・86。B型右利きで趣味はｸﾗｼｯｸ鑑賞。
ｹｲﾄ,ｲｷﾞﾘｽ出身。8月15日生まれの20歳。身長は157cmで体重は45kg、スリーサイズは上から83・59・85。O型右利きで趣味は日本の雑誌を見るｺﾄ。
古賀小春,佐賀出身。4月1日生まれの12歳。身長は140cmで体重は35kg、スリーサイズは上から72・54・77。O型左利きで趣味はｲｸﾞｱﾅのﾋｮｳくんと遊ぶこと、家のお手伝い。
輿水幸子,山梨出身。11月25日生まれの14歳。身長は142cmで体重は37kg、スリーサイズは上から74・52・75。B型左利きで趣味は勉強ﾉｰﾄの清書。
小関麗奈,山形出身。3月5日生まれの13歳。身長は148cmで体重は41kg、スリーサイズは上から75・50・77。B型右利きで趣味はいたずら。
小早川紗枝,京都出身。10月18日生まれの15歳。身長は148cmで体重は42kg、スリーサイズは上から78・56・80。AB型右利きで趣味は日本舞踊。
小日向美穂,熊本出身。12月16日生まれの17歳。身長は155cmで体重は42kg、スリーサイズは上から82・59・86。O型左利きで趣味はひなたぼっこ。
小松伊吹,茨城出身。11月17日生まれの19歳。身長は165cmで体重は48kg、スリーサイズは上から85・59・88。O型右利きで趣味はｽﾄﾘｰﾄﾀﾞﾝｽ･ｽｹﾎﾞｰ･恋愛映画を見る事。
小室千奈美,愛知出身。6月9日生まれの19歳。身長は164cmで体重は45kg、スリーサイズは上から84・56・82。AB型右利きで趣味はﾀﾞｰﾂ。
西園寺琴歌,東京出身。1月23日生まれの17歳。身長は156cmで体重は46kg、スリーサイズは上から87・57・85。O型右利きで趣味は押し花作り。
斉藤洋子,福岡出身。12月29日生まれの20歳。身長は157cmで体重は46kg、スリーサイズは上から85・57・82。O型右利きで趣味は半身浴。
冴島清美,沖縄出身。9月26日生まれの15歳。身長は153cmで体重は43kg、スリーサイズは上から76・58・78。A型右利きで趣味は掃除、整理整頓、腕章作り。
榊原里美,山形出身。8月27日生まれの17歳。身長は162cmで体重は46kg、スリーサイズは上から91・56・86。O型右利きで趣味は甘いお菓子を食べること。
鷺沢文香,長野出身。10月27日生まれの19歳。身長は162cmで体重は45kg、スリーサイズは上から84・54・81。AB型右利きで趣味は本屋めぐり･栞作り。
佐久間まゆ,仙台出身。9月7日生まれの16歳。身長は153cmで体重は40kg、スリーサイズは上から78・54・80。B型両利きで趣味はお料理、編み物。
櫻井桃華,神戸出身。4月8日生まれの12歳。身長は145cmで体重は39kg、スリーサイズは上から72・53・75。A型右利きで趣味はﾃｨｰﾀｲﾑ。
佐々木千枝,富山出身。6月7日生まれの11歳。身長は139cmで体重は33kg、スリーサイズは上から73・49・73。AB型左利きで趣味は裁縫。
佐城雪美,京都出身。9月28日生まれの10歳。身長は137cmで体重は30kg、スリーサイズは上から63・47・65。AB型右利きで趣味はﾍﾟｯﾄ(黒猫)と会話。
佐藤心,長野出身。7月22日生まれの26歳。身長は166cmで体重はﾀﾞｲｴｯﾄちゅう、スリーサイズは上からぼんっ・きゅっ・ぼんっ。AB型右利きで趣味はﾄﾞﾚｽｱｯﾌﾟ・衣装作り。
沢田麻理菜,長野出身。5月6日生まれの26歳。身長は166cmで体重は47kg、スリーサイズは上から87・57・87。B型右利きで趣味はｻｰﾌｨﾝ。
財前時子,名古屋出身。4月18日生まれの21歳。身長は168cmで体重は46kg、スリーサイズは上から83・55・85。B型右利きで趣味はお仕置き、豚を料理すること。
椎名法子,大阪出身。10月10日生まれの13歳。身長は147cmで体重は38kg、スリーサイズは上から76・55・79。O型右利きで趣味は新作ﾄﾞｰﾅﾂの試食。
塩見周子,京都出身。12月12日生まれの18歳。身長は163cmで体重は45kg、スリーサイズは上から82・56・81。B型左利きで趣味は献血・ﾀﾞｰﾂ。
篠原礼,宮崎出身。11月22日生まれの27歳。身長は171cmで体重は49kg、スリーサイズは上から93・58・88。B型左利きで趣味は社交ﾀﾞﾝｽ。
渋谷凛,東京出身。8月10日生まれの15歳。身長は165cmで体重は44kg、スリーサイズは上から80・56・81。B型右利きで趣味は犬の散歩。
島村卯月,東京出身。4月24日生まれの17歳。身長は159cmで体重は45kg、スリーサイズは上から83・59・87。O型右利きで趣味は友達と長電話。
首藤葵,大分出身。8月18日生まれの13歳。身長は145cmで体重は39kg、スリーサイズは上から73・53・75。O型右利きで趣味は魚さばき。
白菊ほたる,鳥取出身。4月19日生まれの13歳。身長は156cmで体重は42kg、スリーサイズは上から77・53・76。AB型左利きで趣味は笑顔の練習・ｱｲﾄﾞﾙﾚｯｽﾝ。
白坂小梅,兵庫出身。3月28日生まれの13歳。身長は142cmで体重は34kg、スリーサイズは上から65・50・70。AB型左利きで趣味はﾎﾗｰ･ｽﾌﾟﾗｯﾀ映画鑑賞　心霊ｽﾎﾟｯﾄ巡り。
城ヶ崎美嘉,埼玉出身。11月12日生まれの17歳。身長は162cmで体重は43kg、スリーサイズは上から80・56・82。AB型左利きで趣味はｶﾗｵｹ。
城ヶ崎莉嘉,埼玉出身。7月30日生まれの12歳。身長は149cmで体重は36kg、スリーサイズは上から72・54・75。B型左利きで趣味はｼｰﾙ集め。
杉坂海,山口出身。7月20日生まれの18歳。身長は162cmで体重は45kg、スリーサイズは上から88・58・86。B型右利きで趣味はｳｲﾝﾄﾞｻｰﾌｨﾝ。
涼宮星花,岐阜出身。8月28日生まれの19歳。身長は158cmで体重は45kg、スリーサイズは上から82・57・83。A型右利きで趣味はﾊﾞｲｵﾘﾝ。
砂塚あきら,新潟出身。10月7日生まれの15歳。身長は154cmで体重は42kg、スリーサイズは上から78・56・78。B型右利きで趣味はﾌｧｯｼｮﾝ、動画配信、FPS。
関裕美,富山出身。8月17日生まれの14歳。身長は155cmで体重は43kg、スリーサイズは上から78・55・80。A型右利きで趣味はｱｸｾｻﾘｰ作り。
瀬名詩織,沖縄出身。1月10日生まれの19歳。身長は165cmで体重は48kg、スリーサイズは上から85・58・83。A型右利きで趣味は海沿いを散歩。
仙崎恵磨,大阪出身。6月27日生まれの21歳。身長は156cmで体重は45kg、スリーサイズは上から81・55・81。O型左利きで趣味は革小物集め。
相馬夏美,京都出身。7月23日生まれの25歳。身長は160cmで体重は46kg、スリーサイズは上から83・60・89。A型右利きで趣味はﾗﾝﾆﾝｸﾞ。
高垣楓,和歌山出身。6月14日生まれの25歳。身長は171cmで体重は49kg、スリーサイズは上から81・57・83。AB型左利きで趣味は温泉めぐり。
高橋礼子,神奈川出身。5月8日生まれの31歳。身長は167cmで体重は51kg、スリーサイズは上から91・62・90。O型右利きで趣味はﾊﾟｰﾃｨｰに行くこと。
鷹富士茄子,島根出身。1月1日生まれの20歳。身長は160cmで体重は43kg、スリーサイズは上から88・57・88。AB型右利きで趣味は隠し芸。
高峯のあ,奈良出身。3月25日生まれの24歳。身長は168cmで体重は48kg、スリーサイズは上から87・55・86。B型右利きで趣味は天体観測。
高森藍子,東京出身。7月25日生まれの16歳。身長は155cmで体重は42kg、スリーサイズは上から74・60・79。O型右利きで趣味は近所の公園をお散歩。
多田李衣菜,東京出身。6月30日生まれの17歳。身長は152cmで体重は41kg、スリーサイズは上から80・55・81。A型右利きで趣味は音楽鑑賞。
橘ありす,兵庫出身。7月31日生まれの12歳。身長は141cmで体重は34kg、スリーサイズは上から68・52・67。A型右利きで趣味はｹﾞｰﾑ･読書(ﾐｽﾃﾘｰ)。
月宮雅,東京出身。10月30日生まれの18歳。身長は153cmで体重は44kg、スリーサイズは上から86・56・82。B型右利きで趣味はﾏﾏとｼｮｯﾋﾟﾝｸﾞ。
辻野あかり,山形出身。11月5日生まれの15歳。身長は160cmで体重は44kg、スリーサイズは上から80・60・86。A型右利きで趣味はﾗｰﾒﾝ、編み物。
土屋亜子,静岡出身。5月2日生まれの15歳。身長は156cmで体重は42kg、スリーサイズは上から85・54・83。B型右利きで趣味は貯金、食べること。
東郷あい,福島出身。2月7日生まれの23歳。身長は167cmで体重は45kg、スリーサイズは上から82・57・83。AB型両利きで趣味はｻｯｸｽ。
十時愛梨,秋田出身。12月8日生まれの18歳。身長は161cmで体重は46kg、スリーサイズは上から86・58・88。O型右利きで趣味はｹｰｷ作り。
ﾄﾚｰﾅｰ,栃木出身。6月10日生まれの23歳。身長は160cmで体重は45kg、スリーサイズは上から84・56・85。B型右利きで趣味は早朝ﾗﾝﾆﾝｸﾞ。
道明寺歌鈴,奈良出身。1月1日生まれの17歳。身長は155cmで体重は43kg、スリーサイズは上から80・57・83。A型右利きで趣味は境内のお掃除。
中野有香,東京出身。3月23日生まれの18歳。身長は149cmで体重は40kg、スリーサイズは上から77・57・81。B型右利きで趣味は空手。
長富蓮実,島根出身。3月19日生まれの16歳。身長は161cmで体重は45kg、スリーサイズは上から83・56・85。A型右利きで趣味はﾎﾞｳﾘﾝｸﾞ･古着屋巡り。
ﾅﾀｰﾘｱ,ﾘｵ･ﾃﾞ･ｼﾞｬﾈｲﾛ出身。6月29日生まれの14歳。身長は155cmで体重は43kg、スリーサイズは上から84・55・86。A型右利きで趣味はﾍﾞﾘｰﾀﾞﾝｽ。
並木芽衣子,和歌山出身。10月14日生まれの22歳。身長は160cmで体重は44kg、スリーサイズは上から80・57・82。AB型右利きで趣味は旅行。
成宮由愛,滋賀出身。11月3日生まれの13歳。身長は150cmで体重は40kg、スリーサイズは上から72・51・73。AB型両利きで趣味は写生・水彩画。
南条光,徳島出身。9月13日生まれの14歳。身長は140cmで体重は41kg、スリーサイズは上から79・58・80。B型右利きで趣味は特撮番組鑑賞、特撮ごっこ。
難波笑美,大阪出身。5月1日生まれの17歳。身長は158cmで体重は45kg、スリーサイズは上から82・56・80。O型右利きで趣味はお笑いﾗｲﾌﾞ巡り、ﾓﾉﾏﾈ。
西川保奈美,兵庫出身。10月23日生まれの16歳。身長は155cmで体重は55kg、スリーサイズは上から88・60・86。A型両利きで趣味はｵﾍﾟﾗ鑑賞・宝塚鑑賞。
西島櫂,大阪出身。8月17日生まれの19歳。身長は172cmで体重は49kg、スリーサイズは上から86・59・83。O型右利きで趣味は水族館巡り。
新田美波,広島出身。7月27日生まれの19歳。身長は165cmで体重は45kg、スリーサイズは上から82・55・85。O型右利きで趣味はﾗｸﾛｽ、資格取得。
二宮飛鳥,静岡出身。2月3日生まれの14歳。身長は154cmで体重は42kg、スリーサイズは上から75・55・78。B型右利きで趣味はﾍｱｱﾚﾝｼﾞ、ﾗｼﾞｵを聴くこと、漫画を描くこと。
丹羽仁美,名古屋出身。6月4日生まれの18歳。身長は157cmで体重は43kg、スリーサイズは上から81・55・79。B型右利きで趣味は史跡巡り･武将ｸﾞｯｽﾞ収集。
野々村そら,福岡出身。1月3日生まれの15歳。身長は157cmで体重は46kg、スリーサイズは上から84・57・85。B型右利きで趣味は友達と電話。
服部瞳子,大分出身。10月11日生まれの25歳。身長は169cmで体重は48kg、スリーサイズは上から78・57・80。O型左利きで趣味は熱帯魚観賞・温泉めぐり。
浜川愛結奈,大阪出身。5月25日生まれの22歳。身長は168cmで体重は50kg、スリーサイズは上から92・58・85。B型右利きで趣味は乗馬。
浜口あやめ,三重出身。1月13日生まれの15歳。身長は154cmで体重は42kg、スリーサイズは上から78・55・80。A型左利きで趣味は時代劇鑑賞、忍者ｸﾞｯｽﾞ収集、撮影所巡り。
早坂美玲,宮城出身。5月9日生まれの14歳。身長は147cmで体重は39kg、スリーサイズは上から75・54・77。B型右利きで趣味はぬいぐるみ集め。
速水奏,東京出身。7月1日生まれの17歳。身長は162cmで体重は43kg、スリーサイズは上から86・55・84。O型右利きで趣味は映画観賞。
原田美世,石川出身。11月14日生まれの20歳。身長は163cmで体重は46kg、スリーサイズは上から86・59・85。O型右利きで趣味はｸﾙﾏ･ﾊﾞｲｸいじり。
柊志乃,山梨出身。12月25日生まれの31歳。身長は167cmで体重は43kg、スリーサイズは上から84・54・83。AB型左利きで趣味はﾜｲﾝﾂｰﾘｽﾞﾑ(産地巡り)。
日野茜,栃木出身。8月4日生まれの17歳。身長は148cmで体重は40kg、スリーサイズは上から80・60・82。AB型右利きで趣味はﾗｸﾞﾋﾞｰ観戦。
姫川友紀,宮崎出身。9月14日生まれの20歳。身長は161cmで体重は44kg、スリーサイズは上から80・57・80。A型右利きで趣味は野球観戦。
兵藤ﾚﾅ,東京出身。10月3日生まれの27歳。身長は167cmで体重は48kg、スリーサイズは上から92・56・84。O型左利きで趣味はﾄﾗﾝﾌﾟ。
福山舞,兵庫出身。1月21日生まれの10歳。身長は132cmで体重は28kg、スリーサイズは上から64・56・70。O型左利きで趣味は一輪車。
藤居朋,滋賀出身。7月1日生まれの19歳。身長は163cmで体重は45kg、スリーサイズは上から78・57・83。O型右利きで趣味は占い。
藤本里奈,湘南出身。10月14日生まれの18歳。身長は154cmで体重は41kg、スリーサイズは上から77・55・80。A型右利きで趣味は単車乗り､ｺﾝﾋﾞﾆで立ち読み。
藤原肇,岡山出身。6月15日生まれの16歳。身長は161cmで体重は43kg、スリーサイズは上から80・55・84。B型両利きで趣味は陶芸、釣り。
双葉杏,北海道出身。9月2日生まれの17歳。身長は139cmで体重は30kg、スリーサイズは上から？・？・？。B型右利きで趣味はなし。
古澤頼子,茨城出身。5月18日生まれの17歳。身長は165cmで体重は45kg、スリーサイズは上から80・59・83。A型左利きで趣味は美術展・博物展観覧。
ﾍﾚﾝ,海の向こう出身。4月4日生まれの24歳。身長は158cmで体重は46kg、スリーサイズは上から90・58・81。AB型右利きで趣味はDVD鑑賞。
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,栃木出身。9月10日生まれの26歳。身長は163cmで体重は45kg、スリーサイズは上から83・56・84。A型右利きで趣味はﾃﾞｲﾄﾚｰﾄﾞ。
北条加蓮,東京出身。9月5日生まれの16歳。身長は155cmで体重は42kg、スリーサイズは上から83・55・81。B型右利きで趣味はﾈｲﾙ。
星輝子,福島出身。6月6日生まれの15歳。身長は142cmで体重は35kg、スリーサイズは上から73・53・75。B型左利きで趣味はｷﾉｺ栽培。
堀裕子,福井出身。3月13日生まれの16歳。身長は157cmで体重は44kg、スリーサイズは上から81・58・80。O型右利きで趣味はｻｲｷｯｸﾄﾚｰﾆﾝｸﾞ。
本田未央,千葉出身。12月1日生まれの15歳。身長は161cmで体重は46kg、スリーサイズは上から84・58・87。B型右利きで趣味はｼｮｯﾋﾟﾝｸﾞ。
前川みく,大阪出身。2月22日生まれの15歳。身長は152cmで体重は45kg、スリーサイズは上から85・55・81。B型右利きで趣味は猫ｶﾌｪ巡り。
槙原志保,三重出身。4月27日生まれの19歳。身長は162cmで体重は46kg、スリーサイズは上から86・57・91。B型右利きで趣味はｽｲｰﾂめぐり。
ﾏｽﾀｰﾄﾚｰﾅｰ,栃木出身。12月10日生まれの28歳。身長は166cmで体重は45kg、スリーサイズは上から82・56・83。AB型右利きで趣味はｽﾎﾟｰﾂﾄﾞﾘﾝｸの自作。
松尾千鶴,福岡出身。3月21日生まれの15歳。身長は161cmで体重は45kg、スリーサイズは上から78・54・81。A型右利きで趣味は勉強・習字。
松永涼,東京出身。10月1日生まれの18歳。身長は160cmで体重は47kg、スリーサイズは上から90・56・86。AB型右利きで趣味はﾎﾗｰ映画鑑賞。
松原早耶,兵庫出身。12月28日生まれの18歳。身長は156cmで体重は43kg、スリーサイズは上から83・58・86。AB型右利きで趣味はﾌﾞﾛｸﾞ。
松本沙理奈,東京出身。9月1日生まれの22歳。身長は165cmで体重は48kg、スリーサイズは上から92・58・85。A型右利きで趣味はｼｮｯﾋﾟﾝｸﾞ。
松山久美子,神奈川出身。1月21日生まれの21歳。身長は161cmで体重は44kg、スリーサイズは上から81・56・81。A型右利きで趣味はﾋﾟｱﾉ。
的場梨沙,山口出身。11月19日生まれの12歳。身長は143cmで体重は38kg、スリーサイズは上から71・58・73。B型右利きで趣味はﾀﾞﾝｽ、ﾊﾟﾊﾟとﾃﾞｰﾄ。
間中美里,神奈川出身。11月6日生まれの20歳。身長は160cmで体重は46kg、スリーサイズは上から84・57・85。AB型右利きで趣味は旅行。
真鍋いつき,石川出身。12月29日生まれの22歳。身長は165cmで体重は46kg、スリーサイズは上から85・57・83。O型右利きで趣味はとにかく運動。
水木聖來,茨城出身。4月27日生まれの23歳。身長は155cmで体重は43kg、スリーサイズは上から82・55・80。B型右利きで趣味は犬の散歩。
水野翠,愛知出身。12月5日生まれの18歳。身長は164cmで体重は47kg、スリーサイズは上から80・54・81。AB型右利きで趣味は弓道。
水本ゆかり,青森出身。10月18日生まれの15歳。身長は155cmで体重は42kg、スリーサイズは上から81・56・82。A型右利きで趣味はﾌﾙｰﾄ。
三船美優,岩手出身。2月25日生まれの26歳。身長は165cmで体重は46kg、スリーサイズは上から85・60・85。AB型右利きで趣味はｱﾛﾏﾃﾗﾋﾟｰ。
三村かな子,東京出身。1月6日生まれの17歳。身長は153cmで体重は52kg、スリーサイズは上から90・65・89。O型右利きで趣味はお菓子作り。
宮本ﾌﾚﾃﾞﾘｶ,ﾊﾟﾘ出身。2月14日生まれの19歳。身長は164cmで体重は46kg、スリーサイズは上から83・57・85。B型左利きで趣味はﾌｧｯｼｮﾝ。
三好紗南,香川出身。6月25日生まれの14歳。身長は149cmで体重は39kg、スリーサイズは上から75・56・80。B型右利きで趣味はTVｹﾞｰﾑ･夜更かし。
向井拓海,神奈川出身。8月7日生まれの18歳。身長は163cmで体重は53kg、スリーサイズは上から95・60・87。A型右利きで趣味はﾊﾞｲｸいじり。
棟方愛海,青森出身。8月1日生まれの14歳。身長は151cmで体重は41kg、スリーサイズは上から73・56・75。A型両利きで趣味は指の運動。
村上巴,広島出身。1月3日生まれの13歳。身長は146cmで体重は37kg、スリーサイズは上から74・53・76。A型右利きで趣味は演歌、将棋。
村松さくら,静岡出身。3月27日生まれの15歳。身長は145cmで体重は38kg、スリーサイズは上から75・55・77。O型右利きで趣味はﾋﾟﾝｸのもの集め。
ﾒｱﾘｰ･ｺｸﾗﾝ,ｻﾝﾌﾗﾝｼｽｺ出身。1月19日生まれの11歳。身長は150cmで体重は40kg、スリーサイズは上から70・58・72。B型左利きで趣味は女磨き･ｸﾞﾙﾒﾂｱｰ。
